,index,route_id,status,timestamp,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,route_length,ego_vehicle,carla_version,scenario,completion_score,driving_score,infraction_penalty,npc_vehicles,pedestrians,simulation_time,system_time,infraction_name
47,31,RouteScenario_31,Completed,route_31_route0_02_08_21_31_56,0,0,0,0,0,0,0,0,0,55.61009969298386,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,13.350000198930502,95.18052458763123,none
48,39,RouteScenario_39,Completed,route_39_route0_02_08_22_36_46,0,0,0,0,0,0,0,0,0,56.290417613840575,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,24.70000036805868,157.78819727897644,none
49,14,RouteScenario_14,Completed,route_14_route0_02_08_18_43_45,0,0,0,0,0,0,0,0,0,60.953372580607784,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,37.80000056326389,350.38442635536194,none
50,20,RouteScenario_20,Completed,route_20_route0_02_08_19_52_33,0,0,0,0,0,0,0,0,0,61.16392023319401,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,27.10000040382147,157.44827818870544,none
51,3,RouteScenario_3,Completed,route_3_route0_02_08_22_41_48,0,0,0,0,0,0,0,0,0,55.43311785764707,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,18.30000027269125,128.68436336517334,none
52,10,RouteScenario_10,Completed,route_10_route0_02_08_18_05_54,0,0,0,0,0,0,0,0,0,55.2446401601069,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,14.150000210851431,167.98438167572021,none
53,21,RouteScenario_21,Completed,route_21_route0_02_08_19_57_03,0,0,0,0,0,0,0,0,0,55.507802941520346,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,16.100000239908695,104.15614795684814,none
54,41,RouteScenario_41,Completed,route_41_route0_02_08_22_53_55,0,0,0,0,0,0,0,0,0,61.367142631099526,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,28.800000429153442,195.28429245948792,none
55,37,RouteScenario_37,Completed,route_37_route0_02_08_22_18_12,0,0,0,0,0,0,0,0,0,55.34447144880457,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,39.25000058487058,343.3681101799011,none
56,32,RouteScenario_32,Completed,route_32_route0_02_08_21_36_20,0,0,0,0,0,0,0,0,0,55.27290728705631,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,26.850000400096178,168.62863516807556,none
