,index,route_id,status,timestamp,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,scenario,route_length,ego_vehicle,carla_version,completion_score,driving_score,infraction_penalty,npc_vehicles,pedestrians,simulation_time,system_time,infraction_name
43,16,RouteScenario_4_16,Failed,route_16_route0_01_19_20_40_23,1,0,0,0.0,0,0,0,0,0,4,60.91089740578979,vehicle.bmw.isetta,10,43.91024759555531,28.541660937110954,0.65,120,0,20.150000300258398,110.3737862110138,collisions_layout
44,23,RouteScenario_4_23,Failed,route_23_route0_01_19_21_46_44,1,0,0,4.71,0,0,0,0,0,4,55.1791221263788,vehicle.bmw.isetta,10,47.81749710511167,29.618254691105747,0.6194020282157254,120,0,18.85000028088689,101.60554790496826,collisions_layout
45,42,RouteScenario_4_42,Completed,route_42_route0_01_20_01_08_08,0,0,0,0.0,0,0,0,0,0,4,56.026662986577875,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,52.150000777095556,311.7473967075348,none
46,8,RouteScenario_4_8,Completed,route_8_route0_01_20_02_41_34,0,0,0,0.0,0,0,0,0,0,4,61.75131111908178,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,42.25000062957406,266.73758006095886,none
47,31,RouteScenario_4_31,Failed,route_31_route0_01_19_23_07_23,1,0,0,21.25,0,0,0,0,0,4,55.61009969298386,vehicle.bmw.isetta,10,66.57309735627156,34.07505919950376,0.5118442817396373,120,0,13.000000193715096,88.31995987892151,collisions_layout
48,39,RouteScenario_4_39,Completed,route_39_route0_01_20_00_14_39,0,0,0,0.0,0,0,0,0,0,4,56.290417613840575,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,31.500000469386578,184.39245772361755,none
49,14,RouteScenario_4_14,Completed,route_14_route0_01_19_20_20_01,0,0,0,0.0,0,0,0,0,0,4,60.953372580607784,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,31.800000473856926,203.47979617118835,none
50,20,RouteScenario_4_20,Completed,route_20_route0_01_19_21_23_34,0,0,0,0.0,0,0,0,0,0,4,61.16392023319401,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,33.00000049173832,182.1969497203827,none
51,3,RouteScenario_4_3,Completed,route_3_route0_01_19_22_46_56,0,0,0,0.0,0,0,0,0,0,4,55.43311785764707,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,106.75000159069896,671.4134759902954,none
52,10,RouteScenario_4_10,Completed,route_10_route0_01_19_19_48_19,0,0,0,16.33,0,0,0,0,0,4,55.2446401601069,vehicle.bmw.isetta,10,100.0,83.67327893984506,0.8367327893984506,120,0,18.200000271201134,133.03173995018005,none
53,21,RouteScenario_4_21,Failed,route_21_route0_01_19_21_29_18,0,0,0,0.0,1,0,0,0,0,4,55.507802941520346,vehicle.bmw.isetta,10,42.09029187291638,29.463204311041466,0.7,120,0,15.750000234693289,89.32650470733643,red_light
54,41,RouteScenario_4_41,Completed,route_41_route0_01_20_00_56_18,0,0,0,22.37,0,0,0,0,0,4,61.367142631099526,vehicle.bmw.isetta,10,100.0,77.63464013571041,0.7763464013571041,120,0,61.05000090971589,345.0141077041626,none
55,37,RouteScenario_4_37,Completed,route_37_route0_01_19_23_49_04,0,0,0,0.0,0,0,0,0,0,4,55.34447144880457,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,39.50000058859587,307.0146806240082,none
56,32,RouteScenario_4_32,Completed,route_32_route0_01_19_23_12_17,0,0,0,0.0,0,0,0,0,0,4,55.27290728705631,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,30.90000046044588,189.77079319953918,none
57,26,RouteScenario_4_26,Completed,route_26_route0_01_19_22_12_17,0,0,0,0.0,0,0,0,0,0,4,55.19927747263407,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,46.800000697374344,297.8695456981659,none
58,9,RouteScenario_4_9,Completed,route_9_route0_01_20_02_49_25,0,0,0,0.0,0,0,0,0,0,4,56.094386897300026,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,28.90000043064356,171.57385277748108,none
59,0,RouteScenario_4_0,Completed,route_0_route0_01_19_19_27_59,0,0,0,0.0,0,0,0,0,0,4,61.06920292504007,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,64.15000095590949,445.9814839363098,none
60,40,RouteScenario_7_40,Completed,route_40_route0_01_20_04_35_55,0,0,0,0.0,0,0,0,0,0,7,82.60001775936934,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,23.45000034943223,160.33185005187988,none
61,27,RouteScenario_7_27,Completed,route_27_route0_01_20_04_15_10,0,0,0,0.0,0,0,0,0,0,7,83.11998033178662,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,24.25000036135316,147.17435789108276,none
62,43,RouteScenario_7_43,Completed,route_43_route0_01_20_04_56_25,0,0,0,0.0,0,0,0,0,0,7,83.51000974305987,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,31.900000475347042,196.5954794883728,none
63,1,RouteScenario_7_1,Completed,route_1_route0_01_20_03_07_41,0,0,0,0.0,0,0,0,0,0,7,82.18000091524995,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,69.80000104010105,451.0109980106354,none
64,22,RouteScenario_7_22,Completed,route_22_route0_01_20_03_34_33,0,0,0,0.0,0,0,0,0,0,7,82.0000009476335,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,26.700000397861004,174.24946403503418,none
65,65,RouteScenario_7_65,Completed,route_65_route0_01_20_05_56_46,0,0,0,0.0,0,0,0,0,0,7,82.60999853125792,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,61.25000091269612,369.56117272377014,none
66,64,RouteScenario_7_64,Failed,route_64_route0_01_20_05_51_43,1,0,0,3.05,0,0,0,0,0,7,82.61000234595448,vehicle.bmw.isetta,10,40.25174744754501,25.364698039234575,0.6301514753437516,120,0,15.150000225752592,101.72846102714539,collisions_layout
67,33,RouteScenario_7_33,Completed,route_33_route0_01_20_04_28_27,0,0,0,0.0,0,0,0,0,0,7,81.97915120561767,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,40.100000597536564,231.95189809799194,none
68,7,RouteScenario_7_7,Completed,route_7_route0_01_20_06_33_37,0,0,0,0.0,0,0,0,0,0,7,81.99999331823905,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,54.80000081658363,332.6591193675995,none
69,56,RouteScenario_7_56,Completed,route_56_route0_01_20_05_27_35,0,0,0,0.0,0,0,0,0,0,7,83.31085709977604,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,24.150000359863043,139.678635597229,none
70,17,RouteScenario_7_17,Failed,route_17_route0_01_20_03_28_10,0,0,1,0.0,0,0,0,0,0,7,83.089996226047,vehicle.bmw.isetta,10,47.2956937356207,28.37741624137242,0.6,120,0,27.000000402331352,185.43992590904236,collisions_vehicle
