,level_0,index,route_id,status,timestamp,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,scenario,route_length,ego_vehicle,carla_version,completion_score,driving_score,infraction_penalty,npc_vehicles,pedestrians,simulation_time,system_time,infraction_name
117,114,36,RouteScenario_9_36,Completed,route_36_route0_02_09_07_54_05,0,0,0,0,0,0,0,0,0,9,55.24653262480497,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,19.5500002913177,125.41444659233092,none
118,108,38,RouteScenario_9_38,Completed,route_38_route0_02_09_08_02_37,0,0,0,0,0,0,0,0,0,9,55.19927747263407,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,21.800000324845318,149.69966983795166,none
119,121,46,RouteScenario_9_46,Completed,route_46_route0_02_09_08_14_00,0,0,0,0,0,0,0,0,0,9,55.9272196240984,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,24.00000035762787,167.97554683685303,none
120,112,47,RouteScenario_9_47,Completed,route_47_route0_02_09_08_19_31,0,0,0,0,0,0,0,0,0,9,55.61009969298386,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,22.100000329315662,154.13111448287964,none
121,109,48,RouteScenario_9_48,Completed,route_48_route0_02_09_08_24_59,0,0,0,0,0,0,0,0,0,9,55.27290728705631,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,20.000000298023224,130.78818249702454,none
122,117,5,RouteScenario_9_5,Completed,route_5_route0_02_09_08_55_57,0,0,0,0,0,0,0,0,0,9,55.43311785764707,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,23.95000035688281,165.0001757144928,none
123,111,50,RouteScenario_9_50,Completed,route_50_route0_02_09_08_31_49,0,0,0,0,0,0,0,0,0,9,55.2693469423156,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,20.550000306218863,157.97206807136536,none
124,120,55,RouteScenario_9_55,Completed,route_55_route0_02_09_08_41_34,0,0,0,0,0,0,0,0,0,9,55.34447144880457,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,33.650000501424074,359.28431367874146,none
125,131,59,RouteScenario_9_59,Completed,route_59_route0_02_09_08_49_52,0,0,0,0,0,0,0,0,0,9,56.290417613840575,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,20.60000030696392,135.32016968727112,none
126,124,60,RouteScenario_9_60,Completed,route_60_route0_02_09_09_01_41,0,0,0,0,0,0,0,0,0,9,55.71251834771494,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,22.45000033453107,274.4387140274048,none
127,113,62,RouteScenario_9_62,Completed,route_62_route0_02_09_09_09_28,0,0,0,0,0,0,0,0,0,9,56.02666298657788,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,24.75000036880374,178.92814326286316,none
128,129,66,RouteScenario_9_66,Completed,route_66_route0_02_09_09_15_43,0,0,0,0,0,0,0,0,0,9,55.41121556217197,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,19.500000290572643,113.49198007583618,none
129,116,70,RouteScenario_9_70,Completed,route_70_route0_02_09_09_23_13,0,0,0,0,0,0,0,0,0,9,54.91447760482357,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,37.40000055730343,339.8840398788452,none
130,123,8,RouteScenario_9_8,Completed,route_8_route0_02_09_09_32_06,0,0,0,0,0,0,0,0,0,9,54.75607184336737,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,20.000000298023224,141.77606558799744,none
131,130,9,RouteScenario_9_9,Completed,route_9_route0_02_09_09_40_58,0,0,0,0,0,0,0,0,0,9,55.59823106089415,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,28.150000419467688,176.24020862579346,none
132,137,0,RouteScenario_1_0,Completed,route_0_route0_02_08_13_41_51,0,0,0,0,0,0,0,0,0,1,316.4820829944565,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,76.25000113621354,474.3881514072418,none
133,132,1,RouteScenario_1_1,Completed,route_1_route0_02_08_13_59_02,0,0,0,0,0,0,0,0,0,1,83.59873826094632,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,33.20000049471855,329.3322069644928,none
134,134,2,RouteScenario_1_2,Completed,route_2_route0_02_08_14_10_54,0,0,0,0,0,0,0,0,0,1,310.51499937633105,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,119.700001783669,771.7362117767334,none
135,136,3,RouteScenario_1_3,Completed,route_3_route0_02_08_14_33_32,0,0,0,0,0,0,0,0,0,1,78.99352533935645,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,13.65000020340085,91.23629522323608,none
