,Unnamed: 0,route_id,status,basename,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,total_steps,score_composed,score_penalty,score_route,infraction
97,97,RouteScenario_97,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,82.05000122264028,286.62315106391907,97.78918153678758,1640,97.93215183307728,1.0,97.93215183307728,route_timeout
98,98,RouteScenario_98,Completed,results_TCP,0,0,0,0,0,0,0,0,0,163.65000243857503,628.5288655757904,84.7644301521923,3272,100.0,1.0,100.0,False
99,99,RouteScenario_99,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,114.05000169947743,382.8547813892365,138.25085451995548,2280,98.54406625827583,1.0,98.54406625827583,route_timeout
100,100,RouteScenario_100,Completed,results_TCP,0,0,0,0,0,0,0,0,0,91.95000137016176,382.6926066875458,238.10978756392848,1838,100.0,1.0,100.0,False
101,101,RouteScenario_101,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,187.0500027872622,810.1527409553528,223.3329029008772,3740,98.68428625713396,1.0,98.68428625713396,route_timeout
102,102,RouteScenario_102,Completed,results_TCP,0,0,0,0,0,0,0,0,0,105.85000157728793,456.5595271587372,167.56487086493937,2116,100.0,1.0,100.0,False
103,103,RouteScenario_103,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,203.0500030256808,856.6889095306396,194.9718798637444,4060,68.56353507386672,1.0,68.56353507386672,route_timeout
104,104,RouteScenario_104,Completed,results_TCP,0,0,0,0,0,0,0,0,0,42.200000628829,183.72913908958435,115.88590957775584,843,100.0,1.0,100.0,False
105,105,RouteScenario_105,Failed,results_TCP,1,0,0,0,0,0,0,0,0,110.1500016413629,434.4474539756775,43.096043644042815,2202,39.36563179965368,0.65,60.56251046100566,collisions_layout
106,106,RouteScenario_106,Failed,results_TCP,0,0,0,0,1,0,0,0,0,0.050000000745058,0.3158512115478515,58.63827134877027,0,0.0,0.7,0.0,red_light
107,107,RouteScenario_107,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,88.05000131204724,365.1688342094421,77.26589929384768,1760,67.184641091769,1.0,67.184641091769,route_timeout
108,108,RouteScenario_108,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,186.05000277236104,750.9607939720154,162.78504929646405,3720,98.23679794981368,1.0,98.23679794981368,route_timeout
109,109,RouteScenario_109,Completed,results_TCP,0,0,0,0,0,0,0,0,0,126.8500018902123,561.1270637512207,198.33133495156537,2536,100.0,1.0,100.0,False
110,110,RouteScenario_110,Failed,results_TCP,0,0,0,0,1,0,0,0,0,140.35000209137797,579.2152569293976,114.14997116258075,2806,16.390696836705825,0.7,23.41528119529404,red_light
111,111,RouteScenario_111,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,102.0500015206635,406.6293790340424,89.85816825817592,2040,96.15008342249784,1.0,96.15008342249784,route_timeout
112,112,RouteScenario_112,Completed,results_TCP,0,0,0,0,0,0,0,0,0,39.90000059455633,146.11159491539,117.1820118020656,797,100.0,1.0,100.0,False
113,113,RouteScenario_113,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,124.05000184848905,402.06470346450806,124.7108900544878,2480,98.65956443853844,1.0,98.65956443853844,route_timeout
114,114,RouteScenario_114,Failed,results_TCP,0,0,0,0,1,0,0,0,0,35.00000052154064,132.20882105827332,97.85226981529962,699,0.7017323718749153,0.7,1.0024748169641648,red_light
115,115,RouteScenario_115,Completed,results_TCP,0,0,0,0,0,0,0,0,0,74.20000110566616,286.2857229709625,152.4820958031289,1483,100.0,1.0,100.0,False
116,116,RouteScenario_116,Failed,results_TCP,0,0,0,0,1,0,0,0,0,13.800000205636024,56.875532388687134,273.33199613203595,275,0.7180071007116993,0.7,1.0257244295881418,red_light
117,117,RouteScenario_117,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,243.05000362172723,919.33766913414,174.53322915148334,4860,98.99572817184564,1.0,98.99572817184564,route_timeout
118,118,RouteScenario_118,Completed,results_TCP,0,0,0,0,0,0,0,0,0,111.45000166073442,449.7521619796753,56.30132988530262,2228,100.0,1.0,100.0,False
119,119,RouteScenario_119,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,199.0500029660761,886.3122670650482,187.8028807307963,3980,74.4007749370333,1.0,74.4007749370333,route_timeout
120,120,RouteScenario_120,Completed,results_TCP,0,0,0,0,0,0,0,0,0,29.050000432878733,116.7511432170868,67.64448743494455,580,100.0,1.0,100.0,False
121,121,RouteScenario_121,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,212.05000315979123,889.5049641132355,247.34437197628097,4240,97.53777502278766,1.0,97.53777502278766,route_timeout
122,122,RouteScenario_122,Completed,results_TCP,0,0,0,0,0,0,0,0,0,41.100000612437725,188.72314548492432,185.99463978365304,821,100.0,1.0,100.0,False
123,123,RouteScenario_123,Completed,results_TCP,0,0,0,0,0,0,0,0,0,41.50000061839819,147.98795676231384,50.992664209856144,829,100.0,1.0,100.0,False
124,124,RouteScenario_124,Failed,results_TCP,0,0,0,0,1,0,0,0,0,173.85000259056687,777.2188172340393,80.77520493729264,3476,21.706519586172828,0.7,31.00931369453261,red_light
125,125,RouteScenario_125,Completed,results_TCP,0,0,0,0,0,0,0,0,0,104.70000156015158,416.0796844959259,154.22773630668453,2093,100.0,1.0,100.0,False
126,126,RouteScenario_126,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,88.05000131204724,348.1892430782318,81.18335428520193,1760,96.88424732039968,1.0,96.88424732039968,route_timeout
127,127,RouteScenario_127,Completed,results_TCP,0,0,0,0,0,0,0,0,0,120.50000179558992,392.94915676116943,126.51974353648706,2409,100.0,1.0,100.0,False
128,128,RouteScenario_128,Completed,results_TCP,0,0,0,0,0,0,0,0,0,155.90000232309103,547.9047291278839,275.5098342056596,3117,100.0,1.0,100.0,False
129,129,RouteScenario_129,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,166.05000247433782,687.8531904220581,161.0705508614438,3320,98.51706946026783,1.0,98.51706946026783,route_timeout
130,130,RouteScenario_130,Completed,results_TCP,0,0,0,0,0,0,0,0,0,51.400000765919685,197.55210041999817,92.67208641879182,1027,100.0,1.0,100.0,False
131,131,RouteScenario_131,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,130.050001937896,454.4881401062012,155.64995003145023,2600,98.08216790377251,1.0,98.08216790377251,route_timeout
132,132,RouteScenario_132,Completed,results_TCP,0,0,0,0,0,0,0,0,0,101.75000151619317,434.3558790683746,168.14150198346732,2034,100.0,1.0,100.0,False
133,133,RouteScenario_133,Completed,results_TCP,0,0,0,0,0,0,0,0,0,209.50000312179327,806.4953227043152,135.6931039120751,4189,100.0,1.0,100.0,False
134,134,RouteScenario_134,Completed,results_TCP,0,0,0,0,0,0,0,0,0,80.70000120252371,340.9474573135376,121.9713958242025,1613,100.0,1.0,100.0,False
135,135,RouteScenario_135,Failed,results_TCP,0,0,0,0,1,0,0,0,0,28.45000042393804,107.39029622077942,90.0830794673052,568,28.472034406357853,0.7,40.67433486622551,red_light
136,136,RouteScenario_136,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,204.05000304058197,790.6359257698059,71.692100036983,4080,67.798790560737,1.0,67.798790560737,route_timeout
137,137,RouteScenario_137,Completed,results_TCP,0,0,0,0,0,0,0,0,0,168.40000250935557,624.9126915931702,195.33833164299287,3367,100.0,1.0,100.0,False
138,138,RouteScenario_138,Completed,results_TCP,0,0,0,0,0,0,0,0,0,142.7000021263957,558.5638463497162,96.40022461549356,2853,100.0,1.0,100.0,False
139,139,RouteScenario_139,Completed,results_TCP,0,0,0,0,0,0,0,0,0,112.6500016786158,440.68214654922485,151.55090419619987,2252,100.0,1.0,100.0,False
140,140,RouteScenario_140,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,160.05000238493085,645.8768362998962,141.90401885803934,3200,98.96942421376984,1.0,98.96942421376984,route_timeout
141,141,RouteScenario_141,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,129.05000192299485,517.4421436786652,159.02180304401404,2580,98.71864427457284,1.0,98.71864427457284,route_timeout
