,Unnamed: 0,route_id,status,id,cloudiness,precipitation,precipitation_deposits,wind_intensity,sun_azimuth_angle,sun_altitude_angle,fog_density,fog_distance,fog_falloff,wetness,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,score_composed,score_penalty,score_route,ego_vehicle
29,29,RouteScenario_29,Completed,WetSunset,20.0,0.0,50.0,0.35,270.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,97.6500014550984,1080.3540523052216,240.84659042508255,100.0,1.0,100.0,vehicle.lincoln.mkz2017
30,30,RouteScenario_30,Completed,MidRainyNoon,80.0,30.0,50.0,0.4,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,116.65000173822044,1303.4655649662018,84.2791168394927,100.0,1.0,100.0,vehicle.lincoln.mkz2017
31,31,RouteScenario_31,Completed,CloudyNoon,80.0,0.0,0.0,0.35,45.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,126.10000187903644,1404.059897184372,194.9718798637444,100.0,1.0,100.0,vehicle.lincoln.mkz2017
32,32,RouteScenario_32,Completed,ClearNoon,15.0,0.0,0.0,0.35,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,72.65000108256936,779.3538537025453,62.57769689198829,100.0,1.0,100.0,vehicle.lincoln.mkz2017
33,33,RouteScenario_33,Failed - Agent timed out,CloudyNoon,80.0,0.0,0.0,0.35,45.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,230.05000342801213,2818.195865869522,184.08247304405248,80.5592585866367,1.0,80.5592585866367,vehicle.lincoln.mkz2017
34,34,RouteScenario_34,Completed,WetSunset,20.0,0.0,50.0,0.35,270.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,171.25000255182385,2060.2514293193813,269.2091664486068,100.0,1.0,100.0,vehicle.lincoln.mkz2017
35,35,RouteScenario_35,Failed,SoftRainNight,90.0,15.0,50.0,0.35,270.0,-80.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,45.80000068247318,533.1219766139984,82.7731237397857,16.385020071592788,0.6,27.30836678598798,vehicle.lincoln.mkz2017
36,36,RouteScenario_36,Completed,MidRainyNoon,80.0,30.0,50.0,0.4,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,116.65000173822044,1314.601952791214,84.2791168394927,100.0,1.0,100.0,vehicle.lincoln.mkz2017
37,37,RouteScenario_37,Completed,ClearSunset,15.0,0.0,0.0,0.35,45.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,54.750000815838575,610.7808358669281,236.02661829428482,100.0,1.0,100.0,vehicle.lincoln.mkz2017
38,38,RouteScenario_38,Completed,MidRainyNoon,80.0,30.0,50.0,0.4,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,101.3500015102327,1170.2405254840849,98.37931889628885,100.0,1.0,100.0,vehicle.lincoln.mkz2017
39,39,RouteScenario_39,Completed,CloudyNoon,80.0,0.0,0.0,0.35,45.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,126.10000187903644,1398.9057657718658,194.9718798637444,100.0,1.0,100.0,vehicle.lincoln.mkz2017
40,40,RouteScenario_40,Failed - Agent timed out,CloudyNoon,80.0,0.0,0.0,0.35,45.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,230.05000342801213,2817.8366141319275,184.08247304405248,80.5592585866367,1.0,80.5592585866367,vehicle.lincoln.mkz2017
41,41,RouteScenario_41,Completed,ClearNoon,15.0,0.0,0.0,0.35,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,46.05000068619847,538.5061135292053,136.80629150040426,100.0,1.0,100.0,vehicle.lincoln.mkz2017
