,Unnamed: 0,route_id,status,id,cloudiness,precipitation,precipitation_deposits,wind_intensity,sun_azimuth_angle,sun_altitude_angle,fog_density,fog_distance,fog_falloff,wetness,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,score_composed,score_penalty,score_route,ego_vehicle
29,29,RouteScenario_29,Completed,WetSunset,20.0,0.0,50.0,0.35,270.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,99.85000148788096,1111.2620429992676,240.84659042508255,100.0,1.0,100.0,vehicle.bmw.isetta
30,30,RouteScenario_30,Failed,MidRainyNoon,80.0,30.0,50.0,0.4,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1.80000002682209,20.43971371650696,84.2791168394927,0.13201145557504285,0.7,0.18858779367863265,vehicle.bmw.isetta
31,31,RouteScenario_31,Completed,CloudyNoon,80.0,0.0,0.0,0.35,45.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,86.35000128671525,956.5011463165283,194.9718798637444,100.0,1.0,100.0,vehicle.bmw.isetta
32,32,RouteScenario_32,Completed,ClearNoon,15.0,0.0,0.0,0.35,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,72.65000108256936,771.3210990428925,62.57769689198829,100.0,1.0,100.0,vehicle.bmw.isetta
33,33,RouteScenario_33,Completed,CloudyNoon,80.0,0.0,0.0,0.35,45.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,196.8000029325485,2362.6956057548527,184.08247304405248,100.0,1.0,100.0,vehicle.bmw.isetta
34,34,RouteScenario_34,Completed,WetSunset,20.0,0.0,50.0,0.35,270.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,220.95000329241157,2662.0868401527405,269.2091664486068,100.0,1.0,100.0,vehicle.bmw.isetta
35,35,RouteScenario_35,Failed,SoftRainNight,90.0,15.0,50.0,0.35,270.0,-80.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1.80000002682209,20.410357952117923,82.7731237397857,0.0,0.7,0.0,vehicle.bmw.isetta
36,36,RouteScenario_36,Failed,MidRainyNoon,80.0,30.0,50.0,0.4,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1.80000002682209,19.903124570846558,84.2791168394927,0.13201145557504285,0.7,0.18858779367863265,vehicle.bmw.isetta
37,37,RouteScenario_37,Completed,ClearSunset,15.0,0.0,0.0,0.35,45.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,58.600000873208046,649.0069017410277,236.02661829428482,100.0,1.0,100.0,vehicle.bmw.isetta
38,38,RouteScenario_38,Completed,MidRainyNoon,80.0,30.0,50.0,0.4,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,102.90000153332949,1187.229368686676,98.37931889628885,100.0,1.0,100.0,vehicle.bmw.isetta
39,39,RouteScenario_39,Completed,CloudyNoon,80.0,0.0,0.0,0.35,45.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,86.35000128671525,967.1254534721376,194.9718798637444,100.0,1.0,100.0,vehicle.bmw.isetta
40,40,RouteScenario_40,Completed,CloudyNoon,80.0,0.0,0.0,0.35,45.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,196.8000029325485,2387.1250095367427,184.08247304405248,100.0,1.0,100.0,vehicle.bmw.isetta
41,41,RouteScenario_41,Completed,ClearNoon,15.0,0.0,0.0,0.35,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,48.75000072643161,571.2229633331299,136.80629150040426,100.0,1.0,100.0,vehicle.bmw.isetta
