,route_id,status,town,basename,cloudiness,fog_density,fog_distance,fog_falloff,precipitation,precipitation_deposits,sun_altitude_angle,sun_azimuth_angle,wetness,wind_intensity,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,ego_vehicle,ego_vehicle_color,ego_vehicle_number_of_wheels,ego_vehicle_object_type,ego_vehicle_role_name,ego_vehicle_sticky_control,number_of_drivers,number_of_walkers,percentage_speed_limit,route_length,total_steps,score_composed,score_penalty,score_route,ego_vehicle_driver_id,infraction
191,RouteScenario_191,Failed,Town01,data,80,0,0,0,0,0,-80,45,0,0.349999994039536,0,0,0,0,1,0,0,0,0,0.050000000745058,0.196507692337036,vehicle.jeep.wrangler_rubicon,"(221,72,3)",4,,hero,True,176,0,62,63.4342348938212,0,0,0.7,0,,red_light
192,RouteScenario_192,Completed,Town01,data,90,0,0,0,60,100,75,90,0,1,0,0,0,0,0,0,0,0,0,125.800001874566,425.628163576126,vehicle.nissan.micra,"(99,181,254)",4,,hero,True,81,129,83,192.365690127461,2513,100,1,100,,False
193,RouteScenario_193,Completed,Town01,data,90,0,0,0,0,50,-80,225,0,0.349999994039536,0,0,0,0,0,0,0,0,0,131.550001960248,442.96989607811,vehicle.bmw.grandtourer,"(157,15,252)",4,,hero,True,81,126,70,209.09000542938,2628,100,1,100,,False
194,RouteScenario_194,Failed - Agent timed out,Town01,data,90,0,0,0,15,50,15,270,0,0.349999994039536,0,0,0,0,0,0,1,0,0,178.050002653152,654.367917299271,vehicle.bh.crossbike,"(203,197,223)",2,,hero,True,179,121,66,70.4333455625408,3558,63.6991136903002,1,63.6991136903002,2,route_timeout
195,RouteScenario_195,Failed - Agent timed out,Town01,data,80,0,0,0,60,100,15,0,0,1,0,0,0,0,0,0,1,0,0,215.050003204495,803.618330478668,vehicle.toyota.prius,"(69,21,41)",4,,hero,True,152,138,80,257.854312822787,4298,98.8586063446503,1,98.8586063446503,,route_timeout
196,RouteScenario_196,Completed,Town01,data,90,0,0,0,15,50,15,270,0,0.349999994039536,0,0,0,0,0,0,0,0,0,32.3000004813075,102.418949604034,vehicle.jeep.wrangler_rubicon,"(23,22,198)",4,,hero,True,103,90,91,163.999940074627,643,100,1,100,,False
197,RouteScenario_197,Failed - Agent timed out,Town01,data,20,0,0,0,0,50,15,270,0,0.349999994039536,0,0,0,0,0,0,1,0,0,236.050003517419,960.09950876236,vehicle.kawasaki.ninja,"(42,41,89)",2,,hero,True,184,77,101,269.209166448607,4718,95.506206440319,1,95.506206440319,0,route_timeout
198,RouteScenario_198,Failed - Agent timed out,Town01,data,90,0,0,0,0,50,75,180,0,0.349999994039536,0,0,0,0,0,0,1,0,0,140.050002086908,471.014411449432,vehicle.bmw.isetta,"(185,60,69)",4,,hero,True,120,146,103,171.195597514441,2798,98.822545866465,1,98.822545866465,,route_timeout
199,RouteScenario_199,Failed - Agent timed out,Town01,data,80,0,0,0,30,50,15,270,0,0.400000005960465,0,0,0,0,0,0,1,0,0,81.0500012077391,270.839480161667,vehicle.chevrolet.impala,"(86,183,39)",4,,hero,True,132,59,99,98.0012884252301,1618,97.9192533707887,1,97.9192533707887,,route_timeout
200,RouteScenario_200,Failed - Agent timed out,Town01,data,80,0,0,0,0,0,-80,45,0,0.349999994039536,0,0,0,0,0,0,1,0,0,231.050003442913,837.460555791855,vehicle.harley-davidson.low_rider,"(130,158,232)",2,,hero,True,132,70,78,271.347296579629,4618,98.940572453815,1,98.940572453815,0,route_timeout
201,RouteScenario_201,Failed,Town01,data,80,0,0,0,0,0,-80,45,0,0.349999994039536,0,0,1,0,0,0,0,0,0,2.95000004395842,13.0413150787354,vehicle.jeep.wrangler_rubicon,"(75,82,89)",4,,hero,True,179,145,85,126.890683201422,56,1.06309183916917,0.6,1.77181973194862,,collisions_vehicle
202,RouteScenario_202,Failed - Agent timed out,Town01,data,15,0,0,0,0,0,15,45,0,0.349999994039536,0,0,0,0,0,0,1,0,0,219.050003264099,712.905839681625,vehicle.bmw.isetta,"(88,76,9)",4,,hero,True,83,135,93,65.1745313434621,4378,98.5115210920794,1,98.5115210920794,,route_timeout
203,RouteScenario_203,Completed,Town01,data,20,0,0,0,0,50,-80,225,0,0.349999994039536,0,0,0,0,0,0,0,0,0,66.300000987947,228.585662603378,vehicle.mercedes-benz.coupe,"(170,126,70)",4,,hero,True,126,102,86,191.817178534735,1323,100,1,100,,False
204,RouteScenario_204,Failed,Town01,data,80,0,0,0,0,0,-80,45,0,0.349999994039536,0,0,0,0,1,0,0,0,0,96.6000014394522,318.652881145477,vehicle.kawasaki.ninja,"(35,129,141)",2,,hero,True,192,107,108,135.530811414702,1929,16.2194672148549,0.7,23.1706674497927,0,red_light
205,RouteScenario_205,Failed,Town01,data,90,0,0,0,60,100,-80,225,0,1,0,0,1,0,0,0,0,0,0,31.1500004641712,92.2766270637512,vehicle.nissan.micra,"(145,57,188)",4,,hero,True,124,66,76,159.834050308432,620,17.7855813515736,0.6,29.642635585956,,collisions_vehicle
206,RouteScenario_206,Completed,Town01,data,90,0,0,0,60,100,75,90,0,1,0,0,0,0,0,0,0,0,0,30.6000004559755,103.837446212769,vehicle.seat.leon,"(220,17,210)",4,,hero,True,114,93,68,120.044759609897,609,100,1,100,,False
207,RouteScenario_207,Failed - Agent timed out,Town01,data,90,0,0,0,0,50,75,180,0,0.349999994039536,0,0,0,0,0,0,1,0,0,82.0500012226403,248.85072016716,vehicle.audi.etron,"(86,78,106)",4,,hero,True,101,83,85,83.4513369766379,1638,5.26434604563523,1,5.26434604563523,,route_timeout
208,RouteScenario_208,Failed,Town01,data,90,0,0,0,15,50,-80,270,0,0.349999994039536,0,0,0,0,1,0,0,0,0,2.35000003501773,7.6043598651886,vehicle.citroen.c3,"(134,81,175)",4,,hero,True,160,108,103,147.976213660784,44,0,0.7,0,,red_light
209,RouteScenario_209,Completed,Town01,data,90,0,0,0,0,50,15,0,0,0.349999994039536,0,0,0,0,0,0,0,0,0,50.5500007532537,150.215766429901,vehicle.citroen.c3,"(50,78,75)",4,,hero,True,80,113,76,149.184792087554,1008,100,1,100,,False
210,RouteScenario_210,Completed,Town01,data,90,0,0,0,0,50,-80,225,0,0.349999994039536,0,0,0,0,0,0,0,0,0,74.5000011101365,271.254646062851,vehicle.mustang.mustang,"(86,192,43)",4,,hero,True,181,56,94,141.712025303643,1487,100,1,100,,False
211,RouteScenario_211,Completed,Town01,data,15,0,0,0,0,0,75,0,0,0.349999994039536,0,0,0,0,0,0,0,0,0,132.300001971424,567.726301908493,vehicle.bmw.grandtourer,"(86,13,85)",4,,hero,True,192,102,102,134.685507956616,2643,100,1,100,,False
212,RouteScenario_212,Completed,Town01,data,20,0,0,0,0,50,-80,225,0,0.349999994039536,0,0,0,0,0,0,0,0,0,131.450001958758,445.016049146652,vehicle.chevrolet.impala,"(44,207,171)",4,,hero,True,109,102,74,217.995000943054,2626,100,1,100,,False
213,RouteScenario_213,Failed - Agent timed out,Town01,data,80,0,0,0,0,0,-80,45,0,0.349999994039536,0,0,0,0,0,0,1,0,0,119.050001773983,464.426216602325,vehicle.diamondback.century,"(20,245,52)",2,,hero,True,114,141,105,140.853977763728,2378,9.18743469209706,1,9.18743469209706,4,route_timeout
214,RouteScenario_214,Failed - Agent timed out,Town01,data,80,0,0,0,0,0,75,45,0,0.349999994039536,0,0,0,0,0,0,1,0,0,173.050002578646,636.614117383957,vehicle.audi.etron,"(101,3,16)",4,,hero,True,189,95,92,141.172229195623,3458,82.0322823696442,1,82.0322823696442,,route_timeout
215,RouteScenario_215,Failed - Agent timed out,Town01,data,15,0,0,0,0,0,75,0,0,0.349999994039536,0,0,0,0,0,0,1,0,0,50.0500007458031,197.909477472305,vehicle.volkswagen.t2,"(74,118,147)",4,,hero,True,199,75,74,57.6900031074299,998,0,1,0,,route_timeout
