,route_id,status,cloudiness,precipitation,precipitation_deposits,wind_intensity,sun_azimuth_angle,sun_altitude_angle,fog_density,fog_distance,fog_falloff,wetness,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,score_composed,score_penalty,score_route,ego_vehicle
5,RouteScenario_5,Failed - Agent timed out,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,892.050013292581,7887.26865053177,141.42135623731,50.8054392366681,1,50.8054392366681,vehicle.bmw.isetta
6,RouteScenario_6,Completed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0000014305115,792.180543422699,141.42135623731,100,1,100,vehicle.bmw.isetta
7,RouteScenario_7,Completed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,201.800003007054,1780.10339474678,141.42135623731,100,1,100,vehicle.bmw.isetta
8,RouteScenario_8,Completed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,202.200003013015,1775.12140083313,141.42135623731,100,1,100,vehicle.bmw.isetta
9,RouteScenario_9,Completed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,195.300002910197,1935.47995305061,141.421361632106,100,1,100,vehicle.bmw.isetta
10,RouteScenario_10,Completed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,487.900007270277,4581.66307401657,141.42135623731,100,1,100,vehicle.bmw.isetta
11,RouteScenario_11,Completed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,226.000003367662,2143.64229726791,141.421353539911,100,1,100,vehicle.bmw.isetta
12,RouteScenario_12,Completed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,332.300004951656,3100.82469058037,141.421357586009,100,1,100,vehicle.bmw.isetta
13,RouteScenario_13,Completed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,505.200007528067,4773.19235610962,141.42135488861,100,1,100,vehicle.bmw.isetta
14,RouteScenario_14,Failed - Agent timed out,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,602.050008971244,5855.82955646515,141.42135488861,88.7137462201914,1,88.7137462201914,vehicle.bmw.isetta
15,RouteScenario_15,Completed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,137.000002041459,1334.05621433258,141.42135623731,100,1,100,vehicle.bmw.isetta
16,RouteScenario_16,Completed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,201.600003004074,1856.68892669678,141.42135623731,100,1,100,vehicle.bmw.isetta
17,RouteScenario_17,Completed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,187.650002796203,1835.5437772274,141.42135623731,100,1,100,vehicle.bmw.isetta
18,RouteScenario_18,Completed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,254.600003793836,2394.77407717705,141.421355900135,100,1,100,vehicle.bmw.isetta
19,RouteScenario_19,Completed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,487.500007264316,4435.93151140213,141.421357586009,100,1,100,vehicle.bmw.isetta
20,RouteScenario_20,Failed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,178.250002656132,1729.15074706078,141.421357586009,45.0428589987172,0.6,75.0714316645287,vehicle.bmw.isetta
21,RouteScenario_21,Completed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,234.000003486872,2176.00121331215,141.42135488861,100,1,100,vehicle.bmw.isetta
22,RouteScenario_22,Completed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,435.400006487966,3968.8881111145,141.421357586009,100,1,100,vehicle.bmw.isetta
0,RouteScenario_0,Completed,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,232.950003471226,1901.97674584389,141.421350842513,100,1,100,vehicle.bmw.isetta
1,RouteScenario_1,Completed,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,89.9000013396144,708.665648937225,141.421356574484,100,1,100,vehicle.bmw.isetta
2,RouteScenario_2,Completed,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,89.9000013396144,711.458666086197,141.421356574484,100,1,100,vehicle.bmw.isetta
3,RouteScenario_3,Completed,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,232.250003460795,1964.5292994976,141.421350842513,100,1,100,vehicle.bmw.isetta
4,RouteScenario_4,Completed,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,135.550002019852,1045.61290478706,141.42135623731,100,1,100,vehicle.bmw.isetta
5,RouteScenario_5,Failed - Agent timed out,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,892.050013292581,7163.57034468651,141.42135623731,62.2059256972815,1,62.2059256972815,vehicle.bmw.isetta
6,RouteScenario_6,Completed,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,135.550002019852,1043.56128835678,141.42135623731,100,1,100,vehicle.bmw.isetta
7,RouteScenario_7,Completed,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,214.650003198534,1728.27363038063,141.42135623731,100,1,100,vehicle.bmw.isetta
8,RouteScenario_8,Completed,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,214.650003198534,1729.34963583946,141.42135623731,100,1,100,vehicle.bmw.isetta
9,RouteScenario_9,Completed,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,110.900001652539,950.930186986923,141.421361632106,100,1,100,vehicle.bmw.isetta
10,RouteScenario_10,Failed - Agent timed out,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,611.050009105355,5081.012373209,141.42135623731,94.3869615611014,1,94.3869615611014,vehicle.bmw.isetta
11,RouteScenario_11,Completed,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,185.800002768636,1610.59788799286,141.421353539911,100,1,100,vehicle.bmw.isetta
12,RouteScenario_12,Completed,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,321.800004795194,2709.0096783638,141.421357586009,100,1,100,vehicle.bmw.isetta
13,RouteScenario_13,Failed - Agent timed out,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,618.050009209663,5167.9160990715,141.42135488861,97.3224142156117,1,97.3224142156117,vehicle.bmw.isetta
14,RouteScenario_14,Failed - Agent timed out,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,602.050008971244,5106.1630089283,141.42135488861,93.2353321384609,1,93.2353321384609,vehicle.bmw.isetta
15,RouteScenario_15,Failed - Agent timed out,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,182.050002712756,1605.1035528183,141.42135623731,98.8131881633164,1,98.8131881633164,vehicle.bmw.isetta
16,RouteScenario_16,Completed,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,291.200004339218,2356.87218546867,141.42135623731,100,1,100,vehicle.bmw.isetta
17,RouteScenario_17,Completed,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,179.350002672523,1572.21076512337,141.42135623731,100,1,100,vehicle.bmw.isetta
18,RouteScenario_18,Completed,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,254.650003794581,2142.91133308411,141.421355900135,100,1,100,vehicle.bmw.isetta
19,RouteScenario_19,Completed,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,429.300006397069,3501.13416433334,141.421357586009,100,1,100,vehicle.bmw.isetta
20,RouteScenario_20,Completed,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,254.000003784895,2141.18586969376,141.421357586009,100,1,100,vehicle.bmw.isetta
21,RouteScenario_21,Completed,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,311.900004647672,2632.32615756988,141.42135488861,100,1,100,vehicle.bmw.isetta
22,RouteScenario_22,Completed,70,15,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,474.100007064641,3971.32198929787,141.421357586009,100,1,100,vehicle.bmw.isetta
0,RouteScenario_0,Completed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,180.850002694875,1461.86072826386,141.421350842513,100,1,100,vehicle.bmw.isetta
1,RouteScenario_1,Completed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,92.6000013798475,740.096469163895,141.421356574484,100,1,100,vehicle.bmw.isetta
2,RouteScenario_2,Completed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,92.6000013798475,740.363647222519,141.421356574484,100,1,100,vehicle.bmw.isetta
3,RouteScenario_3,Completed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,183.550002735108,1547.40899705887,141.421350842513,100,1,100,vehicle.bmw.isetta
4,RouteScenario_4,Completed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,91.5500013642013,674.063372612,141.42135623731,100,1,100,vehicle.bmw.isetta
5,RouteScenario_5,Failed - Agent timed out,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,892.050013292581,7316.3323738575,141.42135623731,63.6476260325944,1,63.6476260325944,vehicle.bmw.isetta
6,RouteScenario_6,Completed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,91.5500013642013,680.910634040833,141.42135623731,100,1,100,vehicle.bmw.isetta
7,RouteScenario_7,Completed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,196.900002934039,1570.396702528,141.42135623731,100,1,100,vehicle.bmw.isetta
8,RouteScenario_8,Completed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,200.450002986938,1591.35098481178,141.42135623731,100,1,100,vehicle.bmw.isetta
9,RouteScenario_9,Completed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,196.700002931058,1675.04003882408,141.421361632106,100,1,100,vehicle.bmw.isetta
10,RouteScenario_10,Completed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,545.800008133054,4581.95513820648,141.42135623731,100,1,100,vehicle.bmw.isetta
11,RouteScenario_11,Completed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,139.750002082437,1204.17687177658,141.421353539911,100,1,100,vehicle.bmw.isetta
12,RouteScenario_12,Failed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,1,0,0,0,0,0,0,75.2000011205673,635.45244884491,141.421357586009,9.70272944273402,0.6,16.17121573789,vehicle.bmw.isetta
13,RouteScenario_13,Failed - Agent timed out,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,618.050009209663,5180.91208696365,141.42135488861,98.8859682889246,1,98.8859682889246,vehicle.bmw.isetta
14,RouteScenario_14,Failed - Agent timed out,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,602.050008971244,4985.13863110542,141.42135488861,98.8558281742017,1,98.8558281742017,vehicle.bmw.isetta
15,RouteScenario_15,Completed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,137.100002042949,1187.80139708519,141.42135623731,100,1,100,vehicle.bmw.isetta
16,RouteScenario_16,Completed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,202.300003014505,1674.08742570877,141.42135623731,100,1,100,vehicle.bmw.isetta
17,RouteScenario_17,Completed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,180.750002693385,1581.53331279755,141.42135623731,100,1,100,vehicle.bmw.isetta
18,RouteScenario_18,Completed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,254.700003795326,2160.61666560173,141.421355900135,100,1,100,vehicle.bmw.isetta
19,RouteScenario_19,Completed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,429.000006392598,3540.12739181519,141.421357586009,100,1,100,vehicle.bmw.isetta
20,RouteScenario_20,Completed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,216.800003230572,1863.41642141342,141.421357586009,100,1,100,vehicle.bmw.isetta
21,RouteScenario_21,Failed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,1,0,0,0,0,0,0,0.100000001490116,1.27248930931091,141.42135488861,0,0.6,0,vehicle.bmw.isetta
22,RouteScenario_22,Completed,80,0,50,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,430.40000641346,3684.477404356,141.421357586009,100,1,100,vehicle.bmw.isetta
0,RouteScenario_0,Completed,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,185.25000276044,1554.45373225212,141.421350842513,100,1,100,vehicle.bmw.isetta
1,RouteScenario_1,Completed,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,135.900002025068,1108.74087548256,141.421356574484,100,1,100,vehicle.bmw.isetta
2,RouteScenario_2,Completed,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,135.900002025068,1109.93267440796,141.421356574484,100,1,100,vehicle.bmw.isetta
3,RouteScenario_3,Completed,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,184.250002745539,1608.63488316536,141.421350842513,100,1,100,vehicle.bmw.isetta
4,RouteScenario_4,Completed,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,136.450002033263,1149.41258811951,141.42135623731,100,1,100,vehicle.bmw.isetta
5,RouteScenario_5,Failed,90,60,100,1,0,75,0,0,0,0,0,0,1,0,0,0,0,0,0,89.0000013262033,823.440807104111,141.42135623731,12.6394061402816,0.6,21.0656769004693,vehicle.bmw.isetta
6,RouteScenario_6,Completed,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,136.400002032518,1216.98131370544,141.42135623731,100,1,100,vehicle.bmw.isetta
7,RouteScenario_7,Completed,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,168.500002510846,1564.61674928665,141.42135623731,100,1,100,vehicle.bmw.isetta
8,RouteScenario_8,Completed,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,168.500002510846,1510.96421980858,141.42135623731,100,1,100,vehicle.bmw.isetta
9,RouteScenario_9,Completed,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,194.800002902746,1771.46182227135,141.421361632106,100,1,100,vehicle.bmw.isetta
10,RouteScenario_10,Failed - Agent timed out,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,611.050009105355,5115.74522280693,141.42135623731,91.0890531890653,1,91.0890531890653,vehicle.bmw.isetta
11,RouteScenario_11,Completed,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,187.800002798438,1634.36120676994,141.421353539911,100,1,100,vehicle.bmw.isetta
12,RouteScenario_12,Completed,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,291.100004337728,2495.11414265633,141.421357586009,100,1,100,vehicle.bmw.isetta
13,RouteScenario_13,Completed,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,407.850006077439,3488.88621091843,141.42135488861,100,1,100,vehicle.bmw.isetta
14,RouteScenario_14,Failed - Agent timed out,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,602.050008971244,5120.00876283646,141.42135488861,93.2353321384609,1,93.2353321384609,vehicle.bmw.isetta
15,RouteScenario_15,Completed,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,141.400002107024,1248.8872756958,141.42135623731,100,1,100,vehicle.bmw.isetta
16,RouteScenario_16,Completed,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,201.900003008544,1681.97258734703,141.42135623731,100,1,100,vehicle.bmw.isetta
17,RouteScenario_17,Completed,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,225.750003363937,1987.95507717133,141.42135623731,100,1,100,vehicle.bmw.isetta
18,RouteScenario_18,Failed - Agent timed out,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,343.050005111843,2821.80670762062,141.421355900135,96.8599953895842,1,96.8599953895842,vehicle.bmw.isetta
19,RouteScenario_19,Completed,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,486.25000724569,4021.69584059715,141.421357586009,100,1,100,vehicle.bmw.isetta
20,RouteScenario_20,Completed,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,254.000003784895,2186.71204090118,141.421357586009,100,1,100,vehicle.bmw.isetta
21,RouteScenario_21,Completed,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,282.550004210323,2299.81761288643,141.42135488861,100,1,100,vehicle.bmw.isetta
22,RouteScenario_22,Completed,90,60,100,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,480.850007165223,3955.60941576958,141.421357586009,100,1,100,vehicle.bmw.isetta
0,RouteScenario_0,Completed,15,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,315.750004705042,2531.28254055977,141.421350842513,100,1,100,vehicle.bmw.isetta
1,RouteScenario_1,Failed - Agent timed out,15,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,319.050004754216,2588.57088518143,141.421356574484,68.8380991486648,1,68.8380991486648,vehicle.bmw.isetta
2,RouteScenario_2,Completed,15,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,181.350002702326,1406.25131988525,141.421356574484,100,1,100,vehicle.bmw.isetta
3,RouteScenario_3,Completed,15,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,179.800002679229,1488.72188782692,141.421350842513,100,1,100,vehicle.bmw.isetta
4,RouteScenario_4,Completed,15,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,181.150002699345,1376.37351465225,141.42135623731,100,1,100,vehicle.bmw.isetta
5,RouteScenario_5,Failed - Agent timed out,15,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,892.050013292581,7087.19224762917,141.42135623731,63.016882135895,1,63.016882135895,vehicle.bmw.isetta
6,RouteScenario_6,Completed,15,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,181.150002699345,1392.75754880905,141.42135623731,100,1,100,vehicle.bmw.isetta
7,RouteScenario_7,Failed - Agent timed out,15,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,560.050008345395,4231.81624317169,141.42135623731,92.6495674450771,1,92.6495674450771,vehicle.bmw.isetta
8,RouteScenario_8,Failed - Agent timed out,15,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,560.050008345395,4228.36625361443,141.42135623731,92.6495674450771,1,92.6495674450771,vehicle.bmw.isetta
9,RouteScenario_9,Completed,15,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,196.850002933294,1644.58252906799,141.421361632106,100,1,100,vehicle.bmw.isetta
10,RouteScenario_10,Completed,15,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,590.800008803606,4764.58834624291,141.42135623731,100,1,100,vehicle.bmw.isetta
11,RouteScenario_11,Completed,15,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,180.250002685934,1540.5934612751,141.421353539911,100,1,100,vehicle.bmw.isetta
12,RouteScenario_12,Completed,15,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,362.150005396456,3019.28145956993,141.421357586009,100,1,100,vehicle.bmw.isetta
13,RouteScenario_13,Completed,15,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,354.850005287677,2944.64728283882,141.42135488861,100,1,100,vehicle.bmw.isetta
14,RouteScenario_14,Failed - Agent timed out,15,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,602.050008971244,5132.12774181366,141.42135488861,84.0299995237407,1,84.0299995237407,vehicle.bmw.isetta
15,RouteScenario_15,Failed - Agent timed out,15,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,182.050002712756,1591.56925058365,141.42135623731,98.8131881633164,1,98.8131881633164,vehicle.bmw.isetta
16,RouteScenario_16,Completed,15,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,239.100003562868,1927.94031023979,141.42135623731,100,1,100,vehicle.bmw.isetta
17,RouteScenario_17,Completed,15,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,185.750002767891,1601.38386034966,141.42135623731,100,1,100,vehicle.bmw.isetta
18,RouteScenario_18,Completed,15,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,254.700003795326,2084.42743468285,141.421355900135,100,1,100,vehicle.bmw.isetta
