,Unnamed: 0,route_id,status,cloudiness,precipitation,precipitation_deposits,wind_intensity,sun_azimuth_angle,sun_altitude_angle,fog_density,fog_distance,fog_falloff,wetness,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,score_composed,score_penalty,score_route,ego_vehicle,infraction
193,9,RouteScenario_9,Completed,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,156.450002331287,374.048481702805,141.421361632106,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
194,10,RouteScenario_10,Completed,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,357.200005322695,899.235375642776,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
195,11,RouteScenario_11,Failed - Agent got blocked,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,1,208.150003101677,538.971770524979,141.421353539911,33.7429439956731,1.0,33.7429439956731,vehicle.lincoln.mkz2017,False
196,12,RouteScenario_12,Completed,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,1,0,0,0,0,0,0,371.300005532801,892.228965044022,141.421357586009,60.0,0.6,100.0,vehicle.lincoln.mkz2017,collisions_vehicle
197,13,RouteScenario_13,Completed,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,357.45000532642,868.964969396591,141.42135488861,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
198,14,RouteScenario_14,Failed - Agent timed out,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,602.050008971244,1421.21840667725,141.42135488861,98.7220068400174,1.0,98.7220068400174,vehicle.lincoln.mkz2017,False
199,15,RouteScenario_15,Failed - Agent timed out,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,182.050002712756,464.227003574371,141.42135623731,97.4594127312325,1.0,97.4594127312325,vehicle.lincoln.mkz2017,False
200,16,RouteScenario_16,Completed,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,284.450004238635,669.084424734116,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
201,17,RouteScenario_17,Completed,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,224.400003343821,558.168677091599,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
202,18,RouteScenario_18,Completed,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,254.850003797561,615.034025669098,141.421355900135,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
203,19,RouteScenario_19,Completed,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,1,0,0,0,0,0,0,385.000005736947,940.578368425369,141.421357586009,60.0,0.6,100.0,vehicle.lincoln.mkz2017,collisions_vehicle
204,20,RouteScenario_20,Completed,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,257.650003839284,642.117065429688,141.421357586009,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
205,21,RouteScenario_21,Completed,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,281.850004199892,689.170031309128,141.42135488861,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
206,22,RouteScenario_22,Completed,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,1,0,0,0,0,0,0,386.050005752593,942.272658586502,141.421357586009,60.0,0.6,100.0,vehicle.lincoln.mkz2017,collisions_vehicle
207,0,RouteScenario_0,Completed,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,269.850004021078,679.516047477722,141.421350842513,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
208,1,RouteScenario_1,Completed,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,90.8000013530254,228.745328187942,141.421356574484,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
209,2,RouteScenario_2,Completed,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,90.7500013522804,228.168735742569,141.421356574484,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
210,3,RouteScenario_3,Completed,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,180.350002687424,455.897514343262,141.421350842513,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
211,4,RouteScenario_4,Completed,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,136.100002028048,334.304017782211,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
212,5,RouteScenario_5,Failed,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,179.850002679974,457.144731998444,141.42135623731,12.5312786151331,0.6,20.8854643585552,vehicle.lincoln.mkz2017,collisions_vehicle
213,6,RouteScenario_6,Completed,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,136.100002028048,334.771621227264,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
214,7,RouteScenario_7,Completed,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,216.800003230572,539.185701608658,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
215,8,RouteScenario_8,Completed,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,216.800003230572,537.795135974884,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
216,9,RouteScenario_9,Completed,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,113.200001686811,293.390796661377,141.421361632106,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
217,10,RouteScenario_10,Failed - Agent timed out,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,611.050009105355,1517.99751448631,141.42135623731,68.4094570717077,1.0,68.4094570717077,vehicle.lincoln.mkz2017,False
218,11,RouteScenario_11,Completed,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,141.75000211224,369.266272783279,141.421353539911,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
219,12,RouteScenario_12,Completed,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,325.100004844368,819.819265127182,141.421357586009,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
220,13,RouteScenario_13,Completed,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,313.800004675984,807.311616420746,141.42135488861,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
221,14,RouteScenario_14,Failed - Agent got blocked,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,210.9500031434,575.539125680924,141.42135488861,8.66982727368668,1.0,8.66982727368668,vehicle.lincoln.mkz2017,False
222,15,RouteScenario_15,Failed - Agent timed out,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,182.050002712756,480.6656935215,141.42135623731,92.0443050586306,1.0,92.0443050586306,vehicle.lincoln.mkz2017,False
223,16,RouteScenario_16,Completed,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,240.100003577769,591.731201887131,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
224,17,RouteScenario_17,Completed,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,185.700002767146,492.993111848831,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
225,18,RouteScenario_18,Completed,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,215.650003213435,554.526151895523,141.421355900135,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
226,19,RouteScenario_19,Failed - Agent timed out,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,779.05001160875,2051.24949836731,141.421357586009,74.7712703883979,1.0,74.7712703883979,vehicle.lincoln.mkz2017,False
227,20,RouteScenario_20,Completed,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,299.250004459173,771.062200784683,141.421357586009,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
228,21,RouteScenario_21,Completed,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,277.250004131347,691.773392438889,141.42135488861,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
229,22,RouteScenario_22,Completed,90,15,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,390.900005824864,1000.63079285622,141.421357586009,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
230,0,RouteScenario_0,Failed - Agent timed out,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,1,0,0,0,1,0,0,431.050006423146,1074.7553832531,141.421350842513,38.6130824084165,0.6,64.3551373473609,vehicle.lincoln.mkz2017,collisions_vehicle
231,1,RouteScenario_1,Completed,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,181.400002703071,452.86252450943,141.421356574484,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
232,2,RouteScenario_2,Completed,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,181.400002703071,457.619207859039,141.421356574484,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
233,3,RouteScenario_3,Completed,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,276.850004125387,692.780938148499,141.421350842513,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
234,4,RouteScenario_4,Completed,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,181.850002709776,450.518734693527,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
235,5,RouteScenario_5,Failed - Agent timed out,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,1,0,0,0,1,0,0,892.050013292581,2211.41435527801,141.42135623731,36.3504076920326,0.6,60.5840128200544,vehicle.lincoln.mkz2017,collisions_vehicle
236,6,RouteScenario_6,Completed,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,181.850002709776,452.891142606735,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
237,7,RouteScenario_7,Completed,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,250.950003739446,614.098388671875,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
238,8,RouteScenario_8,Completed,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,248.600003704429,611.196108579636,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
239,9,RouteScenario_9,Completed,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,112.350001674145,283.445729255676,141.421361632106,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
