,route_id,status,town,basename,cloudiness,fog_density,fog_distance,fog_falloff,precipitation,precipitation_deposits,sun_altitude_angle,sun_azimuth_angle,wetness,wind_intensity,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,ego_vehicle,number_of_drivers,number_of_walkers,percentage_speed_limit,route_length,total_steps,score_composed,score_penalty,score_route
25,RouteScenario_25,Failed - Agent timed out,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,30.0,50.0,15.0,270.0,0.0,0.4000000059604645,0,0,0,0,0,0,1,0,0,118.05000175908208,176.1638219356537,vehicle.lincoln.mkz2017,195,121.0,51,127.5593661832002,2358,93.16433469485308,1.0,93.16433469485308
26,RouteScenario_26,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,60.0,100.0,75.0,90.0,0.0,1.0,0,0,0,0,0,0,0,0,0,46.65000069513917,65.3340060710907,vehicle.lincoln.mkz2017,144,126.0,93,135.98085964910393,930,100.0,1.0,100.0
27,RouteScenario_27,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,15.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,166.75000248476863,238.45873546600345,vehicle.lincoln.mkz2017,191,98.0,53,160.59174114741538,3332,100.0,1.0,100.0
28,RouteScenario_28,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,15.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,115.400001719594,155.6290636062622,vehicle.lincoln.mkz2017,145,73.0,90,174.25697675114515,2305,100.0,1.0,100.0
29,RouteScenario_29,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,15.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,34.50000051409006,46.85433745384216,vehicle.lincoln.mkz2017,170,119.0,87,103.99867141155153,687,100.0,1.0,100.0
30,RouteScenario_30,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,30.0,50.0,75.0,0.0,0.0,0.4000000059604645,0,0,0,0,0,0,0,0,0,149.95000223442912,223.5951898097992,vehicle.lincoln.mkz2017,187,135.0,75,84.2791168394927,2996,100.0,1.0,100.0
31,RouteScenario_31,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,60.0,100.0,75.0,90.0,0.0,1.0,0,0,0,0,0,0,0,0,0,120.80000180006029,169.74576473236084,vehicle.lincoln.mkz2017,127,123.0,92,67.53636251445108,2413,100.0,1.0,100.0
32,RouteScenario_32,Failed - Agent timed out,Town01,100_250_200_vehicle.lincoln.mkz2017,20.0,0.0,0.0,0.0,0.0,50.0,75.0,45.0,0.0,0.3499999940395355,0,0,0,0,0,0,1,0,0,138.0500020571053,192.2485020160675,vehicle.lincoln.mkz2017,171,104.0,101,167.99996240809642,2758,92.2210658724869,1.0,92.2210658724869
33,RouteScenario_33,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,15.0,0.0,0.0,0.0,0.0,0.0,15.0,45.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,112.3000016734004,149.1887423992157,vehicle.lincoln.mkz2017,83,109.0,93,193.7218500399844,2243,100.0,1.0,100.0
34,RouteScenario_34,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,0.0,50.0,75.0,180.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,83.25000124052167,116.77076196670532,vehicle.lincoln.mkz2017,145,128.0,98,141.12593610356925,1662,100.0,1.0,100.0
35,RouteScenario_35,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,30.0,50.0,15.0,270.0,0.0,0.4000000059604645,0,0,0,0,0,0,0,0,0,123.40000183880328,172.00858521461487,vehicle.lincoln.mkz2017,143,96.0,65,109.3971503213479,2465,100.0,1.0,100.0
36,RouteScenario_36,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,0.0,50.0,15.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,178.45000265911222,241.05156993865967,vehicle.lincoln.mkz2017,87,100.0,56,148.92514730795034,3566,100.0,1.0,100.0
37,RouteScenario_37,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,20.0,0.0,0.0,0.0,0.0,50.0,-80.0,225.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,76.10000113397837,104.40533304214478,vehicle.lincoln.mkz2017,125,135.0,86,158.68891930218643,1519,100.0,1.0,100.0
38,RouteScenario_38,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,20.0,0.0,0.0,0.0,0.0,50.0,15.0,270.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,66.95000099763274,91.03058171272278,vehicle.lincoln.mkz2017,120,88.0,96,76.90635351557887,1336,100.0,1.0,100.0
39,RouteScenario_39,Failed - Agent timed out,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,0.0,0.0,-80.0,45.0,0.0,0.3499999940395355,0,0,0,0,0,0,1,0,0,153.05000228062272,200.4327492713928,vehicle.lincoln.mkz2017,111,72.0,95,186.62042559656945,3058,97.63311065503756,1.0,97.63311065503756
40,RouteScenario_40,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,30.0,50.0,75.0,0.0,0.0,0.4000000059604645,0,0,0,0,0,0,0,0,0,140.40000209212303,210.3137528896332,vehicle.lincoln.mkz2017,188,135.0,68,178.23508386477212,2805,100.0,1.0,100.0
41,RouteScenario_41,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,30.0,50.0,-80.0,225.0,0.0,0.4000000059604645,0,0,0,0,0,0,0,0,0,55.05000082030893,75.95526123046875,vehicle.lincoln.mkz2017,176,73.0,83,78.0000161598569,1098,100.0,1.0,100.0
42,RouteScenario_42,Failed - Agent timed out,Town01,100_250_200_vehicle.lincoln.mkz2017,20.0,0.0,0.0,0.0,0.0,50.0,-80.0,225.0,0.0,0.3499999940395355,0,0,0,0,0,0,1,0,0,209.05000311508772,288.71129989624023,vehicle.lincoln.mkz2017,160,104.0,110,118.8098843933318,4178,98.99314232892682,1.0,98.99314232892682
43,RouteScenario_43,Failed - Agent timed out,Town01,100_250_200_vehicle.lincoln.mkz2017,20.0,0.0,0.0,0.0,0.0,50.0,15.0,270.0,0.0,0.3499999940395355,0,0,0,0,0,0,1,0,0,147.05000219121575,209.03990983963013,vehicle.lincoln.mkz2017,147,138.0,107,179.964561912339,2938,95.73546581805007,1.0,95.73546581805007
44,RouteScenario_44,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,30.0,50.0,-80.0,225.0,0.0,0.4000000059604645,0,0,0,0,0,0,0,0,0,94.60000140964983,126.96062922477722,vehicle.lincoln.mkz2017,101,127.0,92,169.5013052937602,1889,100.0,1.0,100.0
45,RouteScenario_45,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,15.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,78.8000011742115,112.8901014328003,vehicle.lincoln.mkz2017,171,137.0,78,132.53723393111662,1573,100.0,1.0,100.0
